Frame 6,24.586,24.422,24.283,24.13,24.003,23.889,23.762,23.634,23.558,23.481,23.417,23.379,23.34,23.276,23.238,23.2,23.2,23.187,23.174,23.174,23.174,23.174,23.2,23.225,23.251,23.264,23.289,23.315,23.328,23.34,23.366,23.392,23.417,23.455,23.494,23.507,23.507,23.519,23.545,23.57,23.596,23.609,23.596,23.596,23.596,23.609,23.634,23.672,23.698,23.698,23.698,23.698,23.698,23.711,23.711,23.723,23.736,23.723,23.736,23.749,23.749,23.749,23.774,23.787,23.787,23.774,23.787,23.8,23.8,23.8,23.787,23.774,23.749,23.736,23.723,23.736
Frame 7,24.713,24.612,24.447,24.257,24.105,23.978,23.851,23.698,23.621,23.532,23.455,23.417,23.366,23.289,23.251,23.212,23.225,23.225,23.212,23.2,23.2,23.212,23.225,23.238,23.264,23.276,23.302,23.328,23.34,23.366,23.379,23.392,23.417,23.455,23.494,23.507,23.507,23.519,23.532,23.558,23.57,23.596,23.609,23.609,23.634,23.647,23.672,23.698,23.723,23.711,23.698,23.698,23.698,23.711,23.711,23.736,23.749,23.749,23.762,23.762,23.762,23.762,23.787,23.787,23.787,23.774,23.787,23.8,23.8,23.812,23.8,23.774,23.762,23.749,23.749,23.762
Frame 8,24.751,24.612,24.435,24.206,24.092,23.965,23.851,23.711,23.596,23.507,23.455,23.404,23.366,23.289,23.251,23.2,23.212,23.212,23.2,23.187,23.187,23.2,23.212,23.238,23.264,23.276,23.302,23.315,23.328,23.353,23.366,23.392,23.43,23.468,23.494,23.507,23.507,23.519,23.532,23.558,23.57,23.596,23.609,23.609,23.634,23.647,23.672,23.711,23.723,23.723,23.723,23.723,23.711,23.711,23.723,23.736,23.749,23.736,23.749,23.762,23.749,23.762,23.762,23.762,23.762,23.762,23.774,23.774,23.774,23.787,23.787,23.774,23.762,23.749,23.736,23.749
Frame 9,24.776,24.624,24.46,24.244,24.105,23.991,23.863,23.723,23.609,23.519,23.468,23.43,23.379,23.315,23.264,23.212,23.212,23.2,23.2,23.2,23.2,23.212,23.225,23.238,23.264,23.276,23.302,23.315,23.328,23.34,23.34,23.366,23.404,23.455,23.494,23.507,23.507,23.519,23.532,23.558,23.57,23.583,23.596,23.609,23.634,23.647,23.672,23.698,23.711,23.711,23.711,23.711,23.711,23.711,23.723,23.736,23.749,23.736,23.749,23.749,23.736,23.736,23.749,23.749,23.749,23.749,23.749,23.774,23.774,23.787,23.787,23.774,23.749,23.749,23.749,23.749
Frame 10,24.864,24.713,24.536,24.308,24.168,24.041,23.902,23.762,23.66,23.57,23.494,23.455,23.392,23.34,23.302,23.251,23.264,23.251,23.264,23.238,23.225,23.238,23.238,23.264,23.289,23.315,23.353,23.366,23.379,23.392,23.404,23.417,23.455,23.481,23.519,23.519,23.519,23.519,23.545,23.57,23.596,23.609,23.621,23.621,23.647,23.647,23.672,23.698,23.711,23.723,23.723,23.723,23.736,23.736,23.762,23.787,23.8,23.8,23.8,23.812,23.812,23.787,23.787,23.774,23.774,23.762,23.774,23.8,23.812,23.825,23.825,23.812,23.787,23.774,23.762,23.774
Frame 11,24.852,24.687,24.51,24.283,24.13,24.016,23.876,23.736,23.647,23.558,23.481,23.43,23.379,23.302,23.264,23.225,23.225,23.225,23.225,23.212,23.2,23.2,23.212,23.238,23.264,23.289,23.315,23.34,23.34,23.353,23.366,23.379,23.417,23.443,23.481,23.494,23.481,23.494,23.507,23.532,23.558,23.583,23.583,23.596,23.609,23.609,23.634,23.66,23.672,23.685,23.685,23.698,23.698,23.698,23.723,23.736,23.749,23.762,23.762,23.774,23.774,23.762,23.749,23.749,23.736,23.736,23.736,23.749,23.762,23.762,23.749,23.736,23.723,23.723,23.711,23.736
Frame 12,24.902,24.751,24.561,24.359,24.194,24.079,23.94,23.8,23.711,23.621,23.558,23.494,23.443,23.392,23.328,23.276,23.276,23.264,23.264,23.238,23.225,23.225,23.238,23.251,23.276,23.289,23.328,23.353,23.366,23.379,23.379,23.392,23.43,23.468,23.507,23.507,23.494,23.494,23.532,23.558,23.583,23.596,23.609,23.634,23.647,23.66,23.685,23.711,23.736,23.736,23.736,23.736,23.736,23.736,23.749,23.774,23.774,23.774,23.787,23.787,23.787,23.787,23.774,23.774,23.774,23.774,23.787,23.787,23.8,23.787,23.774,23.774,23.762,23.762,23.749,23.762
Frame 13,24.915,24.751,24.574,24.384,24.232,24.092,23.94,23.8,23.711,23.609,23.545,23.494,23.455,23.417,23.366,23.315,23.289,23.264,23.251,23.225,23.212,23.225,23.238,23.264,23.289,23.315,23.34,23.366,23.379,23.392,23.366,23.379,23.417,23.443,23.507,23.519,23.507,23.519,23.545,23.558,23.583,23.596,23.609,23.621,23.647,23.647,23.672,23.698,23.711,23.723,23.723,23.723,23.736,23.736,23.762,23.787,23.8,23.787,23.8,23.8,23.787,23.787,23.787,23.8,23.8,23.8,23.812,23.812,23.812,23.812,23.812,23.812,23.787,23.774,23.774,23.787
Frame 14,24.965,24.801,24.599,24.409,24.257,24.13,23.978,23.838,23.723,23.609,23.558,23.507,23.468,23.404,23.366,23.315,23.315,23.276,23.264,23.225,23.212,23.212,23.225,23.251,23.289,23.315,23.34,23.366,23.379,23.392,23.379,23.392,23.417,23.443,23.494,23.507,23.507,23.519,23.545,23.558,23.583,23.609,23.609,23.621,23.621,23.634,23.647,23.66,23.685,23.698,23.698,23.723,23.736,23.736,23.749,23.774,23.774,23.787,23.787,23.8,23.787,23.774,23.774,23.774,23.787,23.787,23.787,23.8,23.812,23.812,23.8,23.8,23.787,23.762,23.762,23.774
Frame 15,25.015,24.852,24.662,24.435,24.27,24.143,24.003,23.838,23.723,23.609,23.57,23.532,23.468,23.404,23.34,23.302,23.289,23.276,23.264,23.225,23.212,23.212,23.238,23.264,23.289,23.302,23.328,23.366,23.379,23.366,23.366,23.379,23.417,23.443,23.481,23.494,23.481,23.507,23.519,23.545,23.57,23.596,23.609,23.609,23.621,23.634,23.672,23.685,23.723,23.736,23.736,23.736,23.736,23.749,23.762,23.762,23.762,23.774,23.787,23.8,23.787,23.787,23.774,23.774,23.774,23.787,23.787,23.8,23.812,23.812,23.8,23.774,23.749,23.749,23.736,23.749
